date,MSFT,BRKA,MMM,KO,JPM
01/12/2009,23.739305,99200,61.532875,18.804321,31.170912
01/01/2010,21.947954,114600,59.910252,17.897085,29.12875
01/02/2010,22.329588,119800,59.6572,17.392342,31.433033
01/03/2010,22.919147,121800,62.611259,18.144518,33.515087
01/04/2010,23.897264,115325,66.432198,17.924196,31.88987
01/05/2010,20.188265,105910,59.419628,17.236731,29.676216
01/06/2010,18.086349,120000,59.551983,16.807484,27.449375
01/07/2010,20.287214,117000,64.49015,18.796225,30.201057
01/08/2010,18.447926,118675,59.220276,19.05884,27.299217
01/09/2010,19.352354,124500,65.782959,19.959263,28.575577
01/10/2010,21.075018,119300,63.893883,21.233557,28.252724
01/11/2010,19.960819,120200,63.711815,21.874161,28.116272
01/12/2010,22.190401,120450,65.882477,23.091434,31.890171
01/01/2011,22.047285,122425,67.119194,22.066242,33.784634
01/02/2011,21.132957,131300,70.409531,22.441914,35.140549
01/03/2011,20.306141,125300,71.808319,23.291559,34.696499
01/04/2011,20.730015,124750,74.657631,24.030762,34.342747
01/05/2011,20.002222,118775,72.484184,23.799217,32.72044
01/06/2011,20.930302,116105,73.274529,23.970211,30.979994
01/07/2011,22.057314,111500,67.318321,24.58003,30.609207
01/08/2011,21.413305,109769,64.104599,25.461887,28.596922
01/09/2011,20.163198,106800,55.833893,24.417397,22.93235
01/10/2011,21.572758,116950,61.456921,25.0312,26.465094
01/11/2011,20.722164,118500,63.027962,24.631855,23.787081
01/12/2011,21.188354,114755,64.013718,26.010912,25.538277
01/01/2012,24.102163,117925,67.914238,25.103853,28.648964
01/02/2012,25.905951,117934,68.611313,25.970016,30.355963
01/03/2012,26.503708,121900,70.344002,27.512758,35.570004
01/04/2012,26.30653,120800,70.462257,28.790106,33.249218
01/05/2012,23.981504,118850,66.559113,28.190315,25.812624
01/06/2012,25.296597,124945,71.140854,29.49552,27.821564
01/07/2012,24.370405,127445,72.435028,30.899197,28.031805
01/08/2012,25.486803,126560,73.522781,28.60471,29.16061
01/09/2012,24.773254,132700,73.847282,29.010061,31.783022
01/10/2012,23.757689,129505,69.995911,28.62974,32.725201
01/11/2012,22.159424,131916,72.672707,29.199551,32.492336
01/12/2012,22.417038,134060,74.682816,28.105118,34.778179
01/01/2013,23.038101,145875,80.876228,28.872688,37.214302
01/02/2013,23.331846,152600,83.651192,30.020147,38.959202
01/03/2013,24.210463,156280,86.037285,31.353695,37.79649
01/04/2013,28.010006,159000,84.742386,33.056602,39.030891
01/05/2013,29.533209,171300,89.242111,31.229239,43.746548
01/06/2013,29.433527,168600,89.002129,31.322956,42.304096
01/07/2013,27.132702,173900,95.578613,31.515862,44.660103
01/08/2013,28.462067,167050,92.445023,30.021841,40.78828
01/09/2013,28.559647,170410,97.727821,29.785946,41.724648
01/10/2013,30.387531,172994,102.998466,31.341124,41.603569
01/11/2013,32.721745,174750,109.267578,31.832188,46.528809
01/12/2013,32.347324,177900,115.346992,32.948486,47.553383
01/01/2014,32.719135,169511,105.428368,30.164886,45.016327
01/02/2014,33.125542,173708,110.807114,30.467976,46.505718
01/03/2014,35.708645,187350,112.305092,30.834869,49.689598
01/04/2014,35.194653,193275,115.144577,32.7915,45.818211
01/05/2014,35.665077,192000,118.008911,32.887978,45.769295
01/06/2014,36.583427,189900,119.307503,34.053654,47.457756
01/07/2014,37.864288,188124,117.350189,31.823181,47.498928
01/08/2014,39.855762,205880,119.940582,33.791393,49.307293
01/09/2014,40.925667,206900,118.711815,34.552738,49.962521
01/10/2014,41.446514,210000,128.841888,34.168091,50.16156
01/11/2014,42.205719,223065,134.137314,36.574883,50.232323
01/12/2014,41.263744,226000,138.420578,34.68359,52.252975
01/01/2015,35.889252,215865,136.718948,33.821003,45.406147
01/02/2015,38.954048,221180,142.068054,35.570801,51.496666
01/03/2015,36.377277,217500,139.815536,33.311687,50.908413
01/04/2015,43.516735,213400,132.55986,33.596382,53.160553
01/05/2015,41.924225,214800,134.839966,33.927696,55.645672
01/06/2015,39.756374,204850,131.615356,32.49472,57.32061
01/07/2015,42.052616,214000,129.090515,34.307819,57.971985
01/08/2015,39.189068,202531,121.243073,32.837963,54.578896
01/09/2015,40.118252,195240,121.769066,33.506077,51.913815
01/10/2015,47.714066,204596,135.030792,35.674881,54.706615
01/11/2015,49.264046,201360,134.489685,35.902317,57.185345
01/12/2015,50.627274,197800,130.237793,36.46627,56.627899
01/01/2016,50.271385,194360,130.549026,36.432312,51.027706
01/02/2016,46.429623,202555,135.624008,36.610565,48.607258
01/03/2016,50.760994,213450,145.103058,39.377789,51.128281
01/04/2016,45.834702,219000,145.756134,38.324696,54.564453
01/05/2016,48.711433,211695,146.574677,38.153603,56.768826
01/06/2016,47.358456,216975,153.511581,38.778095,54.046501
01/07/2016,52.458019,216000,156.351807,37.610035,55.638142
01/08/2016,53.179924,225760,157.123276,37.437634,59.165398
01/09/2016,53.641758,216220,155.447281,36.480793,58.367767
01/10/2016,55.80233,215700,145.806244,36.848354,60.708084
01/11/2016,56.118965,237000,151.48674,35.066776,70.781784
01/12/2016,58.260712,244121,158.45018,36.809315,75.47879
01/01/2017,60.614021,245980,155.1922,36.432453,74.719505
01/02/2017,59.985847,257100,165.427658,36.774254,80.45076
01/03/2017,62.122833,249850,170.954636,37.194927,77.982719
01/04/2017,64.575302,247780,174.975449,38.150974,77.236984
01/05/2017,65.876991,248440,182.695358,40.20219,73.772781
01/06/2017,65.391304,254700,187.130188,39.654022,82.079498
01/07/2017,68.967758,262786,180.820313,40.862865,82.438705
