AAPL;JPM;MSFT
Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume
2018-03-16,44.662498,44.779999,44.404999,44.505001,42.938263,157618800;2018-03-16,115.339996,116.599998,115.339996,115.440002,105.393761,19888900;2018-03-16,94.680000,95.379997,93.919998,94.599998,90.891319,49081300
2018-03-19,44.330002,44.367500,43.415001,43.825001,42.282200,133787200;2018-03-19,115.099998,115.449997,113.300003,114.529999,104.562958,13214900;2018-03-19,93.739998,93.900002,92.110001,92.889999,89.248360,33344100
2018-03-20,43.810001,44.200001,43.735001,43.810001,42.267731,78597600;2018-03-20,114.870003,115.449997,114.449997,114.639999,104.663383,9921200;2018-03-20,93.050003,93.769997,93.000000,93.129997,89.478951,23075200
2018-03-21,43.759998,43.772499,42.814999,42.817501,41.310173,148219600;2018-03-21,114.809998,116.629997,114.209999,114.739998,104.754684,13633000;2018-03-21,92.930000,94.050003,92.209999,92.480003,88.854446,24457100
2018-03-22,42.500000,43.169998,42.150002,42.212502,40.726467,165963200;2018-03-22,113.199997,113.599998,109.540001,109.949997,100.381523,22550400;2018-03-22,91.269997,91.750000,89.660004,89.790001,86.269905,38604700
2018-03-23,42.097500,42.480000,41.235001,41.235001,39.783379,164115200;2018-03-23,110.269997,110.919998,106.760002,107.010002,97.697388,23081500;2018-03-23,89.500000,90.459999,87.080002,87.180000,83.762230,44068900
2018-03-26,42.017502,43.275002,41.610001,43.192501,41.671970,150164800;2018-03-26,109.190002,111.160004,108.650002,110.309998,100.710213,20217500;2018-03-26,90.610001,94.000000,90.400002,93.779999,90.103470,56396800
2018-03-27,43.419998,43.787498,41.730000,42.084999,40.603455,163690400;2018-03-27,111.070000,111.690002,107.300003,108.169998,98.756439,18039900;2018-03-27,94.940002,95.139999,88.510002,89.470001,85.962448,56569000
2018-03-28,41.812500,42.505001,41.297501,41.619999,40.154827,166674000;2018-03-28,108.279999,109.169998,106.650002,108.000000,98.601234,19189300;2018-03-28,89.820000,91.230003,88.870003,89.389999,85.885574,52501100
2018-03-29,41.952499,42.937500,41.724998,41.945000,40.468391,153594000;2018-03-29,108.500000,110.779999,107.779999,109.970001,100.399796,13274600;2018-03-29,90.180000,92.290001,88.400002,91.269997,87.691879,45867500
