AAPL;JPM;MSFT
Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume
2019-01-03,35.994999,36.430000,35.500000,35.547501,34.669640,365248800;2019-01-03,98.639999,98.889999,96.690002,97.110001,90.952843,16286400;2019-01-03,100.099998,100.190002,97.199997,97.400002,94.756454,42579100
2019-01-04,36.132500,37.137501,35.950001,37.064999,36.149662,234428400;2019-01-04,99.110001,100.930000,98.279999,100.690002,94.305870,16935200;2019-01-04,99.720001,102.510002,98.930000,101.930000,99.163513,44060600
2019-01-07,37.174999,37.207500,36.474998,36.982498,36.069202,219111200;2019-01-07,100.430000,101.470001,99.709999,100.760002,94.371429,15430700;2019-01-07,101.639999,103.269997,100.980003,102.059998,99.289970,35656100
2019-01-08,37.389999,37.955002,37.130001,37.687500,36.756794,164101200;2019-01-08,101.629997,101.820000,99.550003,100.570000,94.193474,13578800;2019-01-08,103.040001,103.970001,101.709999,102.800003,100.009888,31514400
2019-01-09,37.822498,38.632500,37.407501,38.327499,37.380985,180396400;2019-01-09,100.809998,101.489998,99.930000,100.400002,94.034241,14230300;2019-01-09,103.860001,104.879997,103.239998,104.269997,101.439995,32280800
2019-01-10,38.125000,38.492500,37.715000,38.450001,37.500465,143122800;2019-01-10,100.019997,100.730003,99.269997,100.389999,94.024879,14376100;2019-01-10,103.220001,103.750000,102.379997,103.599998,100.788193,30067600
2019-01-11,38.220001,38.424999,37.877499,38.072498,37.132290,108092800;2019-01-11,99.889999,100.169998,98.949997,99.910004,93.575333,15439900;2019-01-11,103.190002,103.440002,101.639999,102.800003,100.009888,28314200
2019-01-14,37.712502,37.817501,37.305000,37.500000,36.573921,129756800;2019-01-14,98.870003,101.360001,98.660004,100.940002,94.540009,21258500;2019-01-14,101.900002,102.870003,101.260002,102.050003,99.280251,28437100
2019-01-15,37.567501,38.347500,37.512501,38.267502,37.322472,114843600;2019-01-15,98.889999,102.470001,98.599998,101.680000,95.233093,26504900;2019-01-15,102.510002,105.050003,101.879997,105.010002,102.159920,31587600
2019-01-16,38.270000,38.970001,38.250000,38.735001,37.778423,122278800;2019-01-16,102.250000,103.449997,101.800003,102.500000,96.001091,18533000;2019-01-16,105.260002,106.260002,104.959999,105.379997,102.519859,29853900
2019-01-17,38.549999,39.415001,38.314999,38.965000,38.002739,119284800;2019-01-17,102.110001,103.500000,101.919998,102.919998,96.394470,14247600;2019-01-17,105.000000,106.629997,104.760002,106.120003,103.239784,28393000
2019-01-18,39.375000,39.470001,38.994999,39.205002,38.236813,135004000;2019-01-18,103.769997,104.900002,102.830002,104.589996,97.958580,16428700;2019-01-18,107.459999,107.900002,105.910004,107.709999,104.786636,37427600
2019-01-22,39.102501,39.182499,38.154999,38.325001,37.378555,121576000;2019-01-22,103.080002,103.589996,102.129997,102.940002,96.413200,17083700;2019-01-22,106.750000,107.099998,104.860001,105.680000,102.811722,32371300
2019-01-23,38.537498,38.785000,37.924999,38.480000,37.529724,92522400;2019-01-23,103.440002,103.699997,101.970001,102.680000,96.169693,12146700;2019-01-23,106.120003,107.040001,105.339996,106.709999,103.813774,25874300
2019-01-24,38.527500,38.619999,37.935001,38.174999,37.232254,101766000;2019-01-24,102.129997,103.089996,101.940002,102.739998,96.225891,11296800;2019-01-24,106.860001,107.000000,105.339996,106.199997,103.317596,23164800
2019-01-25,38.869999,39.532501,38.580002,39.439999,38.466007,134142000;2019-01-25,103.510002,104.309998,102.739998,103.389999,96.834671,14369400;2019-01-25,107.239998,107.879997,106.199997,107.169998,104.261292,31225600
2019-01-28,38.947498,39.082500,38.415001,39.075001,38.110027,104768400;2019-01-28,102.889999,104.239998,102.589996,103.879997,97.293594,12283100;2019-01-28,106.260002,106.480003,104.660004,105.080002,102.228020,29476700
2019-01-29,39.062500,39.532501,38.527500,38.669998,37.715031,166348800;2019-01-29,103.879997,105.110001,103.730003,104.169998,97.565224,9743300;2019-01-29,104.879997,104.970001,102.169998,102.940002,100.146103,31490500
2019-01-30,40.812500,41.537498,40.057499,41.312500,40.292267,244439200;2019-01-30,104.139999,105.239998,103.779999,104.410004,97.790001,12526300;2019-01-30,104.620003,106.379997,104.330002,106.379997,103.492729,49471900
2019-01-31,41.527500,42.250000,41.139999,41.610001,40.582428,162958400;2019-01-31,103.410004,103.800003,102.730003,103.500000,96.937698,17520600;2019-01-31,103.800003,105.220001,103.180000,104.430000,101.595657,55636400
2019-02-01,41.740002,42.244999,41.482498,41.630001,40.601936,130672400;2019-02-01,104.000000,104.849998,103.519997,103.879997,97.293594,13000800;2019-02-01,103.779999,104.099998,102.349998,102.779999,99.990440,35535700
2019-02-04,41.852501,42.915001,41.820000,42.812500,41.755226,125982000;2019-02-04,103.790001,104.250000,103.010002,104.250000,97.640144,9871500;2019-02-04,102.870003,105.800003,102.769997,105.739998,102.870094,31315100
2019-02-05,43.215000,43.770000,43.087502,43.544998,42.469643,144406400;2019-02-05,104.519997,104.550003,103.290001,103.790001,97.209305,12763000;2019-02-05,106.059998,107.269997,105.959999,107.220001,104.309929,27325400
2019-02-06,43.662498,43.892502,43.212502,43.560001,42.484268,112958400;2019-02-06,103.709999,104.620003,103.470001,103.739998,97.162483,8745000;2019-02-06,107.000000,107.000000,105.529999,106.029999,103.152237,20609800
2019-02-07,43.099998,43.485001,42.584999,42.735001,41.679646,126966800;2019-02-07,103.250000,103.500000,101.440002,102.379997,95.888710,13177500;2019-02-07,105.190002,105.589996,104.290001,105.269997,102.412849,29760700
2019-02-08,42.247501,42.665001,42.105000,42.602501,41.728615,95280000;2019-02-08,102.080002,102.339996,100.059998,101.360001,94.933380,12892600;2019-02-08,104.389999,105.779999,104.260002,105.669998,102.802010,21461100
2019-02-11,42.762501,42.802502,42.312500,42.357498,41.488640,83973600;2019-02-11,101.760002,102.010002,100.769997,100.879997,94.483818,10978500;2019-02-11,106.199997,106.580002,104.970001,105.250000,102.393394,18914100
2019-02-12,42.525002,42.750000,42.424999,42.722500,41.846161,89134000;2019-02-12,101.949997,102.919998,101.889999,102.599998,96.094765,12852300;2019-02-12,106.139999,107.139999,105.480003,106.889999,103.988892,25056600
2019-02-13,42.847500,43.119999,42.480000,42.544998,41.672295,89960800;2019-02-13,102.900002,103.849998,102.900002,103.089996,96.553688,10754100;2019-02-13,107.500000,107.779999,106.709999,106.809998,103.911049,18394900
2019-02-14,42.427502,42.814999,42.345001,42.700001,41.824120,87342800;2019-02-14,102.470001,103.099998,101.349998,102.419998,95.926178,11518500;2019-02-14,106.309998,107.290001,105.660004,106.900002,103.998619,21784700
2019-02-15,42.812500,42.924999,42.437500,42.605000,41.731060,98507200;2019-02-15,103.900002,105.699997,103.660004,105.550003,98.857727,14716900;2019-02-15,107.910004,108.300003,107.360001,108.220001,105.282784,26606900
2019-02-19,42.427502,42.860001,42.372501,42.732498,41.855953,75891200;2019-02-19,104.910004,105.370003,103.809998,105.180000,98.511169,12764900;2019-02-19,107.790001,108.660004,107.779999,108.169998,105.234146,18038500
2019-02-20,42.797501,43.330002,42.747501,43.007500,42.125313,104457600;2019-02-20,105.209999,105.800003,104.879997,105.690002,98.988846,10030300;2019-02-20,107.860001,107.940002,106.290001,107.150002,104.687019,21607700
2019-02-21,42.950001,43.092499,42.575001,42.764999,41.887783,68998800;2019-02-21,105.449997,105.989998,104.959999,105.470001,98.782799,8400100;2019-02-21,106.900002,109.480003,106.870003,109.410004,106.895081,29063200
2019-02-22,42.895000,43.250000,42.845001,43.242500,42.355495,75652800;2019-02-22,105.699997,106.089996,104.779999,105.000000,98.342590,10647300;2019-02-22,110.050003,111.199997,109.820000,110.970001,108.419212,27763200
2019-02-25,43.540001,43.967499,43.487499,43.557499,42.664028,87493600;2019-02-25,105.750000,107.269997,105.690002,106.099998,99.372849,11230700;2019-02-25,111.760002,112.180000,111.260002,111.589996,109.024956,23750600
2019-02-26,43.427502,43.825001,43.292500,43.582500,42.688511,68280800;2019-02-26,104.500000,105.470001,103.940002,105.290001,98.614204,15465400;2019-02-26,111.260002,113.239998,111.169998,112.360001,109.777260,21536700
2019-02-27,43.302502,43.750000,43.182499,43.717499,42.820747,111341600;2019-02-27,105.180000,105.379997,104.510002,105.160004,98.492447,9968800;2019-02-27,111.690002,112.360001,110.879997,112.169998,109.591621,21487100
2019-02-28,43.580002,43.727501,43.230000,43.287498,42.399570,112861600;2019-02-28,105.010002,105.209999,104.180000,104.360001,97.743164,15156900;2019-02-28,112.040001,112.879997,111.730003,112.029999,109.454849,29083900
2019-03-01,43.570000,43.787498,43.222500,43.742500,42.845234,103544800;2019-03-01,105.099998,105.910004,104.199997,104.430000,97.808731,13813300;2019-03-01,112.889999,113.019997,111.669998,112.529999,109.943359,23501200
2019-03-04,43.922501,44.437500,43.492500,43.962502,43.060719,109744800;2019-03-04,104.919998,105.919998,103.269997,104.190002,97.583954,12466300;2019-03-04,113.019997,113.250000,110.800003,112.260002,109.679558,26608000
2019-03-05,43.985001,44.000000,43.634998,43.882500,42.982357,78949600;2019-03-05,104.129997,104.550003,103.260002,104.110001,97.509033,10856600;2019-03-05,112.250000,112.389999,111.230003,111.699997,109.132423,19538300
2019-03-06,43.667500,43.872501,43.485001,43.630001,42.735043,83241600;2019-03-06,103.860001,104.570000,103.550003,103.720001,97.143753,9070800;2019-03-06,111.870003,112.660004,111.430000,111.750000,109.181282,17687000
2019-03-07,43.467499,43.610001,43.005001,43.125000,42.240398,99185600;2019-03-07,103.250000,103.470001,102.160004,102.970001,96.441299,12705700;2019-03-07,111.400002,111.550003,109.870003,110.389999,107.852539,25339000
2019-03-08,42.580002,43.267502,42.375000,43.227501,42.340797,95997600;2019-03-08,101.989998,103.230003,101.989998,103.010002,96.478767,10582400;2019-03-08,109.160004,110.709999,108.800003,110.510002,107.969788,22818400
2019-03-11,43.872501,44.779999,43.837502,44.724998,43.807579,128044000;2019-03-11,103.980003,104.550003,103.660004,104.349998,97.733795,9763200;2019-03-11,110.989998,112.949997,110.980003,112.830002,110.236458,26491600
2019-03-12,45.000000,45.667500,44.842499,45.227501,44.299774,129870400;2019-03-12,104.589996,104.790001,103.750000,104.040001,97.443451,10219100;2019-03-12,112.820000,113.989998,112.650002,113.620003,111.008293,26132700
2019-03-13,45.562500,45.825001,45.230000,45.427502,44.495667,124130000;2019-03-13,104.190002,104.980003,103.949997,104.389999,97.771263,13022200;2019-03-13,114.129997,115.000000,113.779999,114.500000,111.868073,35513800
2019-03-14,45.974998,46.025002,45.639999,45.932499,44.990303,94318000;2019-03-14,104.500000,105.870003,104.459999,105.339996,98.661034,10926500;2019-03-14,114.540001,115.199997,114.330002,114.589996,111.956001,30763400
2019-03-15,46.212502,46.832500,45.935001,46.529999,45.575550,156171600;2019-03-15,105.410004,106.800003,105.230003,106.550003,99.794312,24811700;2019-03-15,115.339996,117.250000,114.589996,115.910004,113.245659,54681100
2019-03-18,46.450001,47.097500,46.447498,47.005001,46.040817,104879200;2019-03-18,106.550003,107.790001,106.500000,107.190002,100.393738,12935500;2019-03-18,116.169998,117.610001,116.050003,117.570000,114.867493,31207600
2019-03-19,47.087502,47.247501,46.480000,46.632500,45.675953,126585600;2019-03-19,108.199997,108.400002,106.550003,106.800003,100.028473,12889300;2019-03-19,118.089996,118.440002,116.989998,117.650002,114.945671,37588700
2019-03-20,46.557499,47.372501,46.182499,47.040001,46.075096,124140800;2019-03-20,106.430000,106.650002,104.410004,104.519997,97.893021,14920700;2019-03-20,117.389999,118.750000,116.709999,117.519997,114.818649,28113300
2019-03-21,47.505001,49.082500,47.452499,48.772499,47.772057,204136800;2019-03-21,103.489998,103.489998,102.279999,102.870003,96.347649,19751000;2019-03-21,117.139999,120.820000,117.089996,120.220001,117.456589,29854400
2019-03-22,48.834999,49.422501,47.695000,47.762501,46.782772,169630800;2019-03-22,101.820000,102.320000,99.519997,99.760002,93.434837,31115200;2019-03-22,119.500000,119.589996,117.040001,117.050003,114.359451,33624500
2019-03-25,47.877499,47.994999,46.650002,47.185001,46.217113,175381200;2019-03-25,99.589996,100.570000,98.089996,98.930000,92.657455,21032300;2019-03-25,116.559998,118.010002,116.320000,117.660004,114.955444,27067100
2019-03-26,47.915001,48.220001,46.145000,46.697498,45.739620,199202000;2019-03-26,99.820000,100.400002,98.820000,99.919998,93.584686,15987100;2019-03-26,118.620003,118.709999,116.849998,117.910004,115.199684,26097700
2019-03-27,47.187500,47.439999,46.637501,47.117500,46.151005,119393600;2019-03-27,99.879997,100.449997,99.080002,99.580002,93.266243,12753200;2019-03-27,117.879997,118.209999,115.519997,116.769997,114.085876,22733400
2019-03-28,47.237499,47.389999,46.882500,47.180000,46.212219,83121600;2019-03-28,100.000000,100.800003,99.739998,100.709999,94.324593,12454100;2019-03-28,117.440002,117.580002,116.129997,116.930000,114.242203,18334800
2019-03-29,47.457500,47.520000,47.134998,47.487499,46.513416,94256000;2019-03-29,101.540001,101.989998,100.589996,101.230003,94.811630,14523400;2019-03-29,118.070000,118.320000,116.959999,117.940002,115.228996,25399800
2019-04-01,47.910000,47.919998,47.095001,47.810001,46.829304,111448000;2019-04-01,102.150002,104.680000,102.120003,104.639999,98.005417,17499300;2019-04-01,118.949997,119.110001,118.099998,119.019997,116.284180,22789100
2019-04-02,47.772499,48.615002,47.762501,48.505001,47.510036,91062800;2019-04-02,104.599998,105.440002,104.330002,105.139999,98.473709,10295400;2019-04-02,119.059998,119.480003,118.519997,119.190002,116.450264,18142300
2019-04-03,48.312500,49.125000,48.287498,48.837502,47.835732,93087200;2019-04-03,105.809998,106.360001,104.790001,105.349998,98.670395,11499200;2019-04-03,119.860001,120.430000,119.150002,119.970001,117.212341,22860700
2019-04-04,48.697498,49.092499,48.285000,48.922501,47.918972,76457200;2019-04-04,104.550003,105.730003,104.449997,105.559998,99.623604,11952100;2019-04-04,120.099998,120.230003,118.379997,119.360001,116.616356,20112800
2019-04-05,49.112499,49.275002,48.982498,49.250000,48.239758,74106400;2019-04-05,105.800003,106.110001,104.989998,105.309998,99.387672,9933700;2019-04-05,119.389999,120.230003,119.370003,119.889999,117.134186,15826200
2019-04-08,49.105000,50.057499,49.084999,50.025002,48.998871,103526800;2019-04-08,105.110001,105.650002,104.910004,105.650002,99.708534,8056300;2019-04-08,119.809998,120.019997,118.639999,119.930000,117.173248,15116200
2019-04-09,50.080002,50.712502,49.807499,49.875000,48.851940,143072800;2019-04-09,105.080002,105.199997,104.250000,104.870003,98.972412,9092200;2019-04-09,118.629997,119.540001,118.580002,119.279999,116.538185,17612000
2019-04-10,49.669998,50.185001,49.544998,50.154999,49.126194,86781200;2019-04-10,105.129997,105.720001,104.470001,105.339996,99.415977,10882300;2019-04-10,119.760002,120.349998,119.540001,120.190002,117.427277,16477200
2019-04-11,50.212502,50.250000,49.610001,49.737499,48.717262,83603200;2019-04-11,105.709999,106.730003,105.559998,106.230003,100.255920,11183800;2019-04-11,120.540001,120.849998,119.919998,120.330002,117.564056,14209100
2019-04-12,49.799999,50.035000,49.052502,49.717499,48.697666,111042800;2019-04-12,109.440002,111.849998,108.879997,111.209999,104.955864,25834100;2019-04-12,120.639999,120.980003,120.370003,120.949997,118.169792,19745100
2019-04-15,49.645000,49.962502,49.502499,49.807499,48.785820,70146400;2019-04-15,110.919998,111.000000,109.120003,109.940002,103.757286,15163800;2019-04-15,120.940002,121.580002,120.570000,121.050003,118.267502,15792600
2019-04-16,49.865002,50.342499,49.639999,49.812500,48.790722,102785600;2019-04-16,109.900002,111.389999,109.860001,111.099998,104.852051,11583200;2019-04-16,121.639999,121.650002,120.099998,120.769997,117.993942,14071800
2019-04-17,49.884998,50.845001,49.652500,50.782501,49.740826,115627200;2019-04-17,111.699997,114.660004,111.010002,114.300003,107.872093,17791900;2019-04-17,121.239998,121.849998,120.540001,121.769997,118.970955,19300900
2019-04-18,50.779999,51.037498,50.630001,50.965000,49.919586,96783200;2019-04-18,114.529999,114.949997,113.330002,113.459999,107.079330,12501900;2019-04-18,122.190002,123.519997,121.300003,123.370003,120.534180,27991000
2019-04-22,50.707500,51.235001,50.584999,51.132500,50.083645,77758000;2019-04-22,112.830002,113.930000,112.660004,113.599998,107.211456,7975900;2019-04-22,122.620003,124.000000,122.570000,123.760002,120.915215,15648700
2019-04-23,51.107498,51.937500,50.974998,51.869999,50.806026,93292000;2019-04-23,113.000000,114.370003,112.849998,113.739998,107.343575,9193100;2019-04-23,124.099998,125.580002,123.830002,125.440002,122.556602,24025500
2019-04-24,51.840000,52.119999,51.762501,51.790001,50.727665,70162400;2019-04-24,113.260002,114.150002,112.809998,113.550003,107.164261,9245700;2019-04-24,125.790001,125.849998,124.519997,125.010002,122.136490,31257000
2019-04-25,51.707500,51.939999,51.279999,51.320000,50.267300,74172800;2019-04-25,113.010002,114.150002,112.500000,113.610001,107.220901,9311800;2019-04-25,130.059998,131.369995,128.830002,129.149994,126.181313,38033900
2019-04-26,51.224998,51.250000,50.529999,51.075001,50.027325,74596400;2019-04-26,113.949997,114.580002,113.599998,114.470001,108.032524,7889300;2019-04-26,129.699997,130.520004,129.020004,129.889999,126.904312,23654900
2019-04-29,51.099998,51.492500,50.965000,51.152500,50.103237,88818800;2019-04-29,114.599998,117.160004,114.449997,116.120003,109.589737,14242200;2019-04-29,129.899994,130.179993,129.350006,129.770004,126.787064,16324200
2019-04-30,50.764999,50.849998,49.777500,50.167500,49.138439,186139600;2019-04-30,116.430000,116.720001,115.260002,116.050003,109.523682,11389100;2019-04-30,129.809998,130.699997,129.389999,130.600006,127.598007,24166500
2019-05-01,52.470001,53.827499,52.307499,52.630001,51.550426,259309200;2019-05-01,115.720001,117.000000,115.110001,115.160004,108.683731,10412900;2019-05-01,130.529999,130.649994,127.699997,127.879997,124.940514,26821700
2019-05-02,52.459999,53.162498,52.032501,52.287498,51.214951,127985200;2019-05-02,115.169998,115.779999,114.580002,115.410004,108.919655,8613300;2019-05-02,127.980003,128.000000,125.519997,126.209999,123.308899,27350200
2019-05-03,52.722500,52.959999,52.557499,52.937500,51.851620,83569600;2019-05-03,116.000000,116.680000,115.669998,116.120003,109.589737,8185400;2019-05-03,127.360001,129.429993,127.250000,128.899994,125.937065,24911100
2019-05-06,51.072498,52.209999,50.875000,52.119999,51.050892,129772400;2019-05-06,114.180000,115.470001,113.720001,115.089996,108.617653,9387000;2019-05-06,126.389999,128.559998,126.110001,128.149994,125.204292,24239800
2019-05-07,51.470001,51.855000,50.207500,50.715000,49.674709,155054800;2019-05-07,114.029999,114.029999,112.290001,113.209999,106.843391,15017700;2019-05-07,126.459999,127.180000,124.220001,125.519997,122.634743,36017700
2019-05-08,50.474998,51.334999,50.437500,50.724998,49.684498,105358000;2019-05-08,112.660004,113.669998,112.459999,112.610001,106.277130,9575800;2019-05-08,125.440002,126.370003,124.750000,125.510002,122.624992,28419000
2019-05-09,50.099998,50.419998,49.165001,50.180000,49.150684,139634400;2019-05-09,111.139999,112.739998,110.580002,112.519997,106.192177,12205900;2019-05-09,124.290001,125.790001,123.570000,125.500000,122.615234,27235800
2019-05-10,49.355000,49.712502,48.192501,49.294998,48.469784,164834800;2019-05-10,111.750000,112.839996,110.540001,112.510002,106.182762,13189000;2019-05-10,124.910004,127.930000,123.820000,127.129997,124.207756,30915100
2019-05-13,46.927502,47.369999,45.712502,46.430000,45.652740,229722400;2019-05-13,110.080002,110.449997,108.980003,109.449997,103.294838,13783700;2019-05-13,124.110001,125.550003,123.040001,123.349998,120.514641,33944900
2019-05-14,46.602501,47.424999,46.352501,47.165001,46.375435,146118800;2019-05-14,109.550003,111.720001,109.500000,110.320000,104.115921,10503600;2019-05-14,123.870003,125.879997,123.699997,124.730003,121.862930,25266300
2019-05-15,46.567501,47.937500,46.505001,47.730000,46.930973,106178800;2019-05-15,109.209999,110.900002,108.610001,109.900002,103.719536,10142000;2019-05-15,124.260002,126.709999,123.699997,126.019997,123.579018,24722700
2019-05-16,47.477501,48.117500,47.209999,47.520000,46.724491,132125600;2019-05-16,110.620003,112.169998,110.589996,111.309998,105.050240,9672700;2019-05-16,126.750000,129.380005,126.459999,128.929993,126.432663,30112200
2019-05-17,46.732498,47.724998,46.689999,47.250000,46.459011,131516400;2019-05-17,110.000000,111.750000,109.830002,110.769997,104.540604,9570100;2019-05-17,128.309998,130.460007,127.919998,128.070007,125.589317,25770500
2019-05-20,45.880001,46.087502,45.070000,45.772499,45.006248,154449200;2019-05-20,110.580002,111.809998,110.370003,111.349998,105.087982,8518200;2019-05-20,126.519997,127.589996,125.760002,126.220001,123.775154,23706900
2019-05-21,46.305000,47.000000,46.174999,46.650002,45.869057,113459200;2019-05-21,111.440002,111.919998,111.220001,111.730003,105.446617,7967900;2019-05-21,127.430000,127.529999,126.580002,126.900002,124.441994,15293300
2019-05-22,46.165001,46.427502,45.637501,45.695000,44.930046,118994400;2019-05-22,111.400002,111.790001,110.750000,110.820000,104.587791,7918900;2019-05-22,126.620003,128.240005,126.519997,127.669998,125.197060,15396500
2019-05-23,44.950001,45.134998,44.452499,44.915001,44.163101,146118800;2019-05-23,109.639999,109.790001,107.500000,108.639999,102.530388,14558000;2019-05-23,126.199997,126.290001,124.739998,126.180000,123.735931,23603800
2019-05-24,45.049999,45.535000,44.654999,44.742500,43.993488,94858800;2019-05-24,109.519997,109.959999,109.190002,109.709999,103.540207,8537300;2019-05-24,126.910004,127.419998,125.970001,126.239998,123.794762,14123400
2019-05-28,44.730000,45.147499,44.477501,44.557499,43.811584,111792800;2019-05-28,109.199997,109.830002,108.440002,108.519997,102.417145,11665500;2019-05-28,126.980003,128.000000,126.050003,126.160004,123.716324,23128400
2019-05-29,44.105000,44.837502,44.000000,44.345001,43.602642,113924800;2019-05-29,107.449997,108.400002,107.059998,108.220001,102.134018,9966400;2019-05-29,125.379997,125.389999,124.040001,124.940002,122.519951,22763100
2019-05-30,44.487499,44.807499,44.167500,44.575001,43.828793,84873600;2019-05-30,108.650002,109.180000,106.540001,107.059998,101.039238,10367800;2019-05-30,125.260002,125.760002,124.779999,125.730003,123.294640,16829600
2019-05-31,44.057499,44.497501,43.747501,43.767502,43.034817,108174400;2019-05-31,105.559998,106.589996,104.839996,105.959999,100.001099,10952800;2019-05-31,124.230003,124.620003,123.320000,123.680000,121.284355,26646800
2019-06-03,43.900002,44.480000,42.567501,43.325001,42.599720,161584400;2019-06-03,105.800003,106.860001,105.300003,106.459999,100.472984,11680700;2019-06-03,123.849998,124.370003,119.010002,119.839996,117.518730,37983600
2019-06-04,43.860001,44.957500,43.630001,44.910000,44.158184,123872000;2019-06-04,107.849998,109.900002,107.129997,109.739998,103.568520,12858600;2019-06-04,121.279999,123.279999,120.650002,123.160004,120.774429,29382600
2019-06-05,46.070000,46.247501,45.285000,45.634998,44.871044,119093600;2019-06-05,109.860001,110.379997,108.639999,110.129997,103.936600,8340500;2019-06-05,124.949997,125.870003,124.209999,125.830002,123.392708,24926100
2019-06-06,45.770000,46.367500,45.537498,46.305000,45.529827,90105200;2019-06-06,110.150002,110.870003,108.930000,110.370003,104.163116,8726700;2019-06-06,126.440002,127.970001,125.599998,127.820000,125.344162,21459000
2019-06-07,46.627499,47.980000,46.442501,47.537498,46.741699,122737600;2019-06-07,109.699997,110.019997,108.959999,109.160004,103.021156,10618900;2019-06-07,129.190002,132.250000,128.259995,131.399994,128.854797,33885600
2019-06-10,47.952499,48.842499,47.904999,48.145000,47.339031,104883600;2019-06-10,110.750000,111.209999,110.220001,110.339996,104.134789,11380600;2019-06-10,132.399994,134.080002,132.000000,132.600006,130.031586,26477100
2019-06-11,48.715000,49.000000,48.400002,48.702499,47.887196,107731600;2019-06-11,110.820000,111.570000,110.370003,110.680000,104.455673,9847700;2019-06-11,133.880005,134.240005,131.279999,132.100006,129.541260,23913700
2019-06-12,48.487499,48.992500,48.347500,48.547501,47.734787,73012800;2019-06-12,110.699997,110.900002,108.889999,109.269997,103.124947,9670500;2019-06-12,131.399994,131.970001,130.710007,131.490005,128.943085,17092500
2019-06-13,48.674999,49.197498,48.400002,48.537498,47.724957,86698400;2019-06-13,109.459999,110.160004,109.050003,109.540001,103.379776,8406900;2019-06-13,131.979996,133.000000,131.559998,132.320007,129.756989,17200800
2019-06-14,47.887501,48.397499,47.575001,48.185001,47.378368,75046000;2019-06-14,109.570000,110.300003,108.629997,109.820000,103.644035,9077400;2019-06-14,132.259995,133.789993,131.639999,132.449997,129.884491,17821700
2019-06-17,48.224998,48.740002,48.042500,48.472500,47.661045,58676400;2019-06-17,109.699997,110.370003,109.059998,109.220001,103.077782,8128600;2019-06-17,132.630005,133.729996,132.529999,132.850006,130.276733,14517800
2019-06-18,49.012501,50.072498,48.802502,49.612499,48.781967,106204000;2019-06-18,109.010002,111.410004,108.980003,110.709999,104.483978,11057300;2019-06-18,134.190002,135.240005,133.570007,135.160004,132.542007,25934500
2019-06-19,49.919998,49.970001,49.327499,49.467499,48.639389,84496800;2019-06-19,110.820000,111.589996,109.699997,109.910004,103.728973,13126500;2019-06-19,135.000000,135.929993,133.809998,135.690002,133.061737,23744400
2019-06-20,50.092499,50.152500,49.507500,49.865002,49.030235,86056000;2019-06-20,110.879997,111.089996,109.029999,110.190002,103.993233,13638000;2019-06-20,137.449997,137.660004,135.720001,136.949997,134.297272,33042600
2019-06-21,49.700001,50.212502,49.537498,49.695000,48.863079,191202400;2019-06-21,110.190002,111.669998,109.089996,109.440002,103.285400,27089500;2019-06-21,136.580002,137.729996,136.460007,136.970001,134.316940,36727900
2019-06-24,49.634998,50.040001,49.542500,49.645000,48.813919,72881600;2019-06-24,109.279999,109.769997,108.540001,108.660004,102.549278,13039600;2019-06-24,137.000000,138.399994,137.000000,137.779999,135.111252,20628800
2019-06-25,49.607498,49.814999,48.822498,48.892502,48.074020,84281200;2019-06-25,108.680000,108.980003,107.669998,107.760002,101.699883,18660100;2019-06-25,137.250000,137.589996,132.729996,133.429993,130.845474,33327400
2019-06-26,49.442501,50.247501,49.337502,49.950001,49.113811,104270000;2019-06-26,108.300003,109.309998,108.160004,108.480003,102.379395,10324600;2019-06-26,134.350006,135.740005,133.600006,133.929993,131.335800,23657700
2019-06-27,50.072498,50.392502,49.892502,49.935001,49.099064,83598800;2019-06-27,108.839996,109.550003,108.440002,108.839996,102.719139,10906600;2019-06-27,134.139999,134.710007,133.509995,134.149994,131.551529,16557500
2019-06-28,49.669998,49.875000,49.262501,49.480000,48.651680,124442400;2019-06-28,111.040001,112.430000,110.900002,111.800003,105.512695,21634700;2019-06-28,134.570007,134.600006,133.160004,133.960007,131.365234,30043000
2019-07-01,50.792500,51.122501,50.162498,50.387501,49.543983,109012000;2019-07-01,113.230003,114.519997,113.080002,113.680000,107.286964,12724500;2019-07-01,136.630005,136.699997,134.970001,135.679993,133.051910,22613500
2019-07-02,50.352501,50.782501,50.340000,50.682499,49.834049,67740800;2019-07-02,113.510002,114.199997,113.220001,113.800003,107.400208,10174900;2019-07-02,136.119995,136.589996,135.339996,136.580002,133.934479,15237800
2019-07-03,50.820000,51.110001,50.672501,51.102501,50.247021,45448000;2019-07-03,113.339996,113.870003,112.260002,112.820000,107.229134,6849400;2019-07-03,136.800003,137.740005,136.289993,137.460007,134.797440,13629300
2019-07-05,50.837502,51.270000,50.724998,51.057499,50.202774,69062000;2019-07-05,113.510002,114.269997,112.919998,113.489998,107.865929,7929400;2019-07-05,135.940002,137.330002,135.720001,137.059998,134.405182,18141100
2019-07-08,50.202499,50.349998,49.602501,50.005001,49.167892,101354400;2019-07-08,112.959999,113.480003,112.500000,112.870003,107.276657,6917200;2019-07-08,136.399994,137.100006,135.369995,136.960007,134.307129,16779700
