date,JPM,MSFT
01/04/1991,2.242828,0.943868
02/04/1991,2.395747,0.992498
03/04/1991,2.531676,1.005761
04/04/1991,2.599641,1.005761
05/04/1991,2.599641,0.972604
08/04/1991,2.616631,0.984762
09/04/1991,2.514686,0.974814
10/04/1991,2.480702,0.950499
11/04/1991,2.565659,0.981446
12/04/1991,2.548668,0.948289
15/04/1991,2.667605,1.005761
16/04/1991,2.769553,0.992498
17/04/1991,2.990435,0.985867
18/04/1991,2.922472,0.972604
19/04/1991,2.871499,0.948289
22/04/1991,2.769553,0.902975
23/04/1991,2.871499,0.898553
24/04/1991,2.854506,0.910711
25/04/1991,2.854506,0.890817
26/04/1991,2.820525,0.890817
29/04/1991,2.837515,0.864291
30/04/1991,2.786544,0.875344
01/05/1991,2.769553,0.890817
02/05/1991,2.735569,0.888606
03/05/1991,2.701587,0.895238
06/05/1991,2.650613,0.9085
07/05/1991,2.667605,0.895238
08/05/1991,2.684597,0.910711
09/05/1991,2.718577,0.935026
10/05/1991,2.633624,0.9085
13/05/1991,2.650613,0.911816
14/05/1991,2.531676,0.895238
15/05/1991,2.514686,0.866502
16/05/1991,2.548668,0.878659
17/05/1991,2.531676,0.877554
20/05/1991,2.548668,0.876449
21/05/1991,2.565659,0.90187
22/05/1991,2.633624,0.943868
23/05/1991,2.718577,0.968183
24/05/1991,2.803534,0.972604
28/05/1991,2.854506,0.979235
29/05/1991,2.820525,0.974814
30/05/1991,2.854506,0.974814
31/05/1991,2.905481,0.970394
03/06/1991,2.854506,0.990288
04/06/1991,2.990435,0.999129
05/06/1991,3.126364,0.990288
06/06/1991,3.160347,0.982551
07/06/1991,3.296276,0.974814
10/06/1991,3.15893,0.977025
11/06/1991,3.296276,0.97813
12/06/1991,3.193267,0.982551
13/06/1991,3.210436,0.981446
14/06/1991,3.193267,1.003551
17/06/1991,3.107427,1.003551
18/06/1991,3.055923,0.985867
19/06/1991,3.055923,0.914027
20/06/1991,3.021585,0.890817
21/06/1991,3.038754,0.904079
24/06/1991,3.004419,0.867607
25/06/1991,2.90141,0.873133
26/06/1991,3.055923,0.890817
27/06/1991,3.021585,0.90187
28/06/1991,2.935746,0.903527
01/07/1991,2.952914,0.946631
02/07/1991,2.918578,0.903527
03/07/1991,2.832737,0.848818
05/07/1991,2.867072,0.818977
08/07/1991,2.970083,0.888606
09/07/1991,3.15893,0.900212
10/07/1991,3.141762,0.865397
11/07/1991,3.141762,0.878659
12/07/1991,3.261939,0.90187
15/07/1991,3.656808,0.926736
16/07/1991,3.536627,0.895238
17/07/1991,3.450789,0.898553
18/07/1991,3.536627,0.888606
19/07/1991,3.536627,0.898553
22/07/1991,3.536627,0.895238
23/07/1991,3.467958,0.881976
24/07/1991,3.485125,0.868712
25/07/1991,3.519462,0.875344
26/07/1991,3.519462,0.941658
29/07/1991,3.519462,0.931711
30/07/1991,3.536627,0.964867
31/07/1991,3.519462,0.974814
01/08/1991,3.502294,0.971499
02/08/1991,3.502294,0.971499
05/08/1991,3.485125,0.958235
06/08/1991,3.553797,0.988077
07/08/1991,3.588131,1.007971
08/08/1991,3.725479,1.04776
09/08/1991,3.691144,1.07097
12/08/1991,3.742647,1.100811
13/08/1991,3.879992,1.094179
14/08/1991,3.983,1.094179
15/08/1991,3.845656,1.080917
16/08/1991,3.776981,1.084232
19/08/1991,3.622472,1.064338
20/08/1991,3.673974,1.067653
21/08/1991,3.776981,1.114074
22/08/1991,3.691144,1.114074
23/08/1991,3.691144,1.130652
26/08/1991,3.656808,1.130652
27/08/1991,3.605302,1.124021
28/08/1991,3.588131,1.135626
29/08/1991,3.639637,1.137283
30/08/1991,3.639637,1.130652
03/09/1991,3.639637,1.102469
04/09/1991,3.639637,1.095837
05/09/1991,3.639637,1.067653
06/09/1991,3.639637,1.07097
09/09/1991,3.674301,1.07097
10/09/1991,3.639638,1.061022
11/09/1991,3.587643,1.087548
12/09/1991,3.604975,1.135626
13/09/1991,3.518316,1.100811
16/09/1991,3.431659,1.100811
17/09/1991,3.518316,1.120705
18/09/1991,3.500986,1.124021
19/09/1991,3.500986,1.143915
20/09/1991,3.518316,1.14723
23/09/1991,3.518316,1.125679
24/09/1991,3.466321,1.167124
25/09/1991,3.483653,1.163809
26/09/1991,3.535648,1.183703
27/09/1991,3.518316,1.170441
30/09/1991,3.518316,1.180388
01/10/1991,3.396996,1.17873
02/10/1991,3.414327,1.153862
03/10/1991,3.327669,1.160494
04/10/1991,3.293005,1.168783
07/10/1991,3.258344,1.173756
08/10/1991,3.275673,1.183703
09/10/1991,3.189015,1.187019
10/10/1991,3.258344,1.190335
11/10/1991,3.327669,1.188677
